gene_id,log2FoldChange,padj
Os03g0146500,-1.157823835,2.89e-10
Os03g0638900,1.603143988,3.03e-10
Os01g0627800,5.320453616,3.22e-10
Os06g0533700,-5.257581739,3.63e-10
Os06g0570600,6.297189503,3.71e-10
Os01g0783500,0.785791289,4.23e-10
Os11g0118300,-2.214288459,4.77e-10
Os04g0517500,0.785599108,4.78e-10
Os02g0583700,-1.155411183,5e-10
Os11g0180100,1.60281686,5.56e-10
Os05g0231100,-1.011301077,5.73e-10
Os02g0522300,-1.047995766,5.73e-10
Os10g0470900,0.976694476,5.75e-10
Os09g0129600,1.999943429,5.99e-10
Os05g0169200,1.740391277,6.03e-10
Os10g0506900,-1.381695252,6.04e-10
Os06g0570566,9.060180128,6.21e-10
Os10g0529500,1.109840696,6.84e-10
Os01g0256500,-1.315839341,7.25e-10
Os07g0186000,1.090235655,7.46e-10
Os03g0439700,-2.575931793,7.75e-10
Os04g0675000,0.878993802,7.75e-10
Os03g0827900,1.166302657,7.83e-10
Os01g0314100,-0.923627587,7.83e-10
Os11g0282300,1.033645579,8.2e-10
Os11g0236200,3.329858829,8.28e-10
Os01g0309800,-1.574650193,8.83e-10
Os03g0626700,1.127957846,9.36e-10
Os05g0475400,1.447207911,1.03e-09
Os02g0437300,-1.087795006,1.18e-09
Os06g0329350,-2.110571932,1.2e-09
Os01g0708900,0.932216339,1.26e-09
Os02g0539100,0.874695018,1.39e-09
Os02g0194200,-0.753301028,1.43e-09
Os06g0649900,1.221007314,1.66e-09
Os03g0401100,-1.100855397,1.81e-09
Os01g0127200,2.535525308,1.85e-09
Os04g0500700,0.951647016,1.86e-09
Os10g0130500,-1.486946995,1.97e-09
Os02g0137700,-2.873210007,2.02e-09
Os10g0204400,-1.257454109,2.03e-09
Os09g0323000,0.91910007,2.05e-09
Os12g0115700,2.046205403,2.13e-09
Os12g0634500,-2.321690765,2.63e-09
Os04g0544200,1.298951047,3e-09
Os04g0320700,-1.009493645,3.06e-09
Os05g0575000,1.188087451,3.16e-09
Os09g0293601,0.908652718,3.5e-09
Os01g0110100,2.178748124,3.52e-09
Os07g0553700,-0.905620032,3.77e-09
Os07g0599900,1.456906387,3.84e-09
Os03g0248600,0.990272056,3.84e-09
Os07g0599500,1.787175714,3.97e-09
Os04g0404400,2.287074037,4.06e-09
Os02g0327000,0.946755665,4.07e-09
Os03g0345901,-0.946287364,4.07e-09
Os01g0102900,-1.924149636,4.1e-09
Os06g0662200,-0.838137556,4.13e-09
Os01g0266500,0.802909944,4.48e-09
Os11g0547800,1.902532828,4.59e-09
Os12g0166700,0.885473473,4.6e-09
Os05g0110100,-1.427647906,4.6e-09
Os12g0239300,0.632830035,4.64e-09
Os10g0521500,1.743065315,4.79e-09
Os06g0708832,0.917286335,4.81e-09
Os03g0253600,0.887850365,4.95e-09
Os04g0416900,1.897478916,5.32e-09
Os09g0440300,-0.727138349,5.32e-09
Os10g0140200,-0.924834673,6.24e-09
Os07g0599700,1.67951941,6.26e-09
Os05g0390300,1.591019288,6.51e-09
Os05g0579500,-1.217835819,6.51e-09
Os09g0322400,-0.980828847,6.57e-09
Os03g0587000,0.950502876,6.59e-09
Os11g0482901,1.020248141,6.78e-09
Os10g0527400,2.294882204,6.82e-09
Os04g0359100,0.882239642,6.85e-09
Os02g0778500,1.034637589,6.98e-09
Os03g0116000,1.195680032,7.06e-09
Os02g0819500,-0.816044407,7.15e-09
Os10g0171500,-1.000433826,7.29e-09
Os02g0606200,-0.731820105,7.73e-09
Os11g0167800,1.207255434,7.88e-09
Os03g0684700,-1.44353294,7.97e-09
Os01g0336300,-2.439837931,8.95e-09
Os05g0493800,-1.636771131,9.25e-09
Os09g0533900,0.782614954,9.48e-09
Os01g0923000,-0.692275598,9.54e-09
Os02g0191300,-0.969924751,9.92e-09
Os02g0533800,-1.823184887,1.01e-08
Os09g0543400,2.20125345,1.11e-08
Os05g0111300,1.775913574,1.14e-08
Os02g0776400,1.13995092,1.19e-08
Os04g0415000,-0.765802138,1.23e-08
Os03g0431600,-3.546282307,1.23e-08
Os07g0462200,0.857443661,1.27e-08
Os06g0233000,1.201915242,1.31e-08
Os05g0159500,1.115462555,1.45e-08
Os02g0177600,1.355570768,1.54e-08
Os03g0739700,2.418612645,1.57e-08
Os04g0122000,-3.47319793,1.66e-08
Os11g0450400,2.141240297,1.69e-08
Os02g0783625,-1.308420598,1.71e-08
Os06g0641500,-2.075648082,1.72e-08
Os01g0906000,1.156741427,1.76e-08
Os06g0604600,0.919582941,1.81e-08
Os06g0218600,1.266659823,1.81e-08
Os01g0595600,-2.086425803,1.97e-08
Os01g0859500,-1.004154387,2.01e-08
Os04g0616900,-1.339862491,2.03e-08
Os06g0115300,1.193434184,2.11e-08
Os06g0470350,-2.035595851,2.11e-08
Os12g0554500,1.063948554,2.14e-08
Os05g0556400,1.118912684,2.14e-08
Os03g0183500,1.610180657,2.25e-08
Os07g0684000,2.573116402,2.32e-08
Os03g0231600,-1.697033003,2.54e-08
Os06g0579100,-1.08629933,2.59e-08
Os01g0753800,1.85194799,2.59e-08
Os07g0575900,0.95584851,2.66e-08
Os03g0835150,-0.744870284,2.66e-08
Os03g0559700,1.35441769,2.9e-08
Os10g0567400,-1.329028976,3.1e-08
Os01g0650000,1.734833601,3.47e-08
Os02g0232000,-1.572057869,3.49e-08
Os10g0555900,0.956525023,3.68e-08
Os02g0201500,1.084976659,3.9e-08
Os06g0547400,-1.612990749,3.95e-08
Os03g0711650,-1.188164673,4.12e-08
Os06g0725100,-1.118895589,4.42e-08
Os03g0373500,-1.741457644,4.7e-08
Os03g0189600,0.985197449,4.95e-08
Os01g0159250,2.059694666,4.95e-08
Os05g0159300,1.148343587,5.17e-08
Os07g0573200,0.835150139,5.54e-08
Os01g0303800,-1.317013364,5.61e-08
Os08g0269500,1.06417813,5.65e-08
Os05g0358500,-0.926937451,5.65e-08
Os05g0420200,0.915064669,5.84e-08
Os01g0135600,-1.45803385,6.01e-08
Os11g0538400,-2.980282414,6.04e-08
Os11g0541600,-2.111385004,6.12e-08
Os04g0337500,1.170467512,6.23e-08
Os01g0108600,1.421509412,6.29e-08
Os10g0580400,-1.724305942,6.4e-08
Os03g0563200,-1.347417359,6.43e-08
Os04g0394100,3.981728208,6.96e-08
Os07g0689600,0.853485444,7.36e-08
Os01g0795400,1.866553269,7.46e-08
Os01g0655500,-0.901449855,7.46e-08
Os01g0878300,-1.59022219,7.61e-08
Os04g0115700,-1.794932445,7.62e-08
Os11g0180900,1.307832974,7.86e-08
Os05g0370300,1.419139214,8.19e-08
Os05g0563000,1.161897082,8.44e-08
Os04g0538000,1.772037236,8.87e-08
Os10g0462800,-0.971899563,9.18e-08
Os03g0647600,0.796083476,9.2e-08
Os09g0261300,0.685765645,9.25e-08
Os02g0685200,-1.255284979,9.34e-08
Os09g0532900,0.826921631,9.34e-08
Os07g0126500,-1.345655401,9.77e-08
Os07g0170016,1.276612084,9.94e-08
Os04g0670500,-1.820706136,1.01e-07
Os02g0465600,1.399847161,1.02e-07
Os03g0263300,3.545912957,1.08e-07
Os08g0352400,-1.165150704,1.08e-07
Os02g0127900,0.832122642,1.13e-07
Os10g0127900,-2.13077426,1.16e-07
Os06g0697600,-1.287153448,1.2e-07
Os05g0514800,-4.130185591,1.25e-07
Os12g0437800,-1.336511233,1.26e-07
Os05g0531500,0.690192403,1.28e-07
Os09g0307300,1.322791584,1.28e-07
Os01g0865100,-1.068010144,1.3e-07
Os12g0615600,1.918722942,1.34e-07
Os01g0579600,-0.649429439,1.39e-07
Os05g0153000,1.018335761,1.43e-07
Os02g0250400,0.894630178,1.46e-07
Os02g0166501,-4.090208732,1.46e-07
Os04g0561800,2.724002661,1.46e-07
Os10g0172000,2.280275541,1.47e-07
Os11g0262600,-4.118514573,1.6e-07
Os08g0152900,0.837113921,1.62e-07
Os11g0521500,-1.103369598,1.73e-07
Os10g0530400,-1.560112042,1.77e-07
Os06g0532500,-7.291561337,1.77e-07
Os02g0326200,1.019299606,1.79e-07
Os01g0780900,0.765566782,1.83e-07
Os07g0599600,1.603298324,1.89e-07
Os06g0147200,-1.202210336,1.91e-07
Os11g0435300,-0.964023648,1.92e-07
Os06g0641400,-1.839691708,1.94e-07
Os01g0770700,-1.315145499,1.96e-07
Os01g0195400,1.044626076,1.97e-07
Os12g0640550,-1.18686955,2e-07
Os09g0471600,-1.231249559,2.01e-07
Os06g0199000,-1.628381762,2.03e-07
Os11g0108650,1.512258174,2.05e-07
Os04g0423600,0.978959844,2.24e-07
Os12g0113500,0.628655556,2.28e-07
Os06g0289900,2.065555981,2.34e-07
Os01g0311800,-1.3258507,2.35e-07
Os05g0360400,-0.816388256,2.41e-07
Os07g0294300,-1.076002853,2.48e-07
Os07g0676600,0.968664898,2.52e-07
Os02g0503900,-2.345352021,2.72e-07
Os03g0229500,-1.093070847,2.73e-07
Os03g0214400,0.8521099,2.82e-07
Os05g0375400,-0.87134765,2.91e-07
Os02g0592200,1.194620078,2.94e-07
Os03g0637900,0.90771651,3.08e-07
Os02g0652550,1.298109611,3.23e-07
Os01g0859200,-1.099625072,3.23e-07
Os10g0340800,-1.016038364,3.37e-07
Os12g0232300,3.168425117,3.48e-07
Os11g0487700,-0.996550832,3.61e-07
Os04g0584500,7.450482194,3.64e-07
Os01g0649900,1.248373552,3.65e-07
Os09g0453300,-1.459675982,3.67e-07
Os04g0442000,0.717323518,3.72e-07
Os06g0304600,0.885508973,3.72e-07
Os11g0671000,-1.14637974,3.72e-07
Os11g0131900,-0.77579014,4.05e-07
Os04g0408600,1.315517816,4.16e-07
Os12g0222800,1.576919759,4.18e-07
Os03g0322700,1.36132175,4.51e-07
Os05g0198200,1.13165265,4.53e-07
Os05g0567100,-0.583268009,4.53e-07
Os06g0214850,0.787538727,4.67e-07
Os02g0189200,1.397861778,4.75e-07
Os07g0104500,-1.513205174,5.23e-07
Os03g0438100,0.780243515,5.25e-07
Os06g0493600,2.447546541,5.25e-07
Os06g0288300,1.74157806,5.43e-07
Os07g0568100,0.774425891,5.59e-07
Os01g0119100,0.848716082,5.64e-07
Os01g0114100,-0.896825284,5.66e-07
Os03g0438200,1.13223636,5.67e-07
Os08g0256000,1.050543479,5.93e-07
Os07g0139400,0.707127527,6.36e-07
Os04g0674100,1.781846693,6.54e-07
