gene_id,log2FoldChange,padj
Os01g0329900,1.482173423,6.86e-14
Os07g0599900,2.000949718,7.16e-14
Os01g0802600,2.382669182,7.68e-14
Os06g0568600,2.060786639,7.86e-14
Os06g0268800,0.871447181,8.35e-14
Os08g0453700,1.638307213,8.88e-14
Os04g0561800,3.680084584,8.98e-14
Os04g0400600,2.071605989,9.15e-14
Os07g0241500,1.969017975,9.51e-14
Os04g0129900,1.559949219,1.07e-13
Os10g0532300,-1.454426869,1.2e-13
Os04g0670500,-2.987621105,1.2e-13
Os07g0448100,-1.400216951,1.29e-13
Os01g0196300,2.027332114,1.48e-13
Os10g0556200,-2.09508903,1.48e-13
Os08g0189900,-1.704398056,1.51e-13
Os05g0226900,1.660749895,1.52e-13
Os04g0338100,1.581163409,1.57e-13
Os02g0626400,1.413976027,1.76e-13
Os05g0148700,-1.353921279,1.76e-13
Os07g0624100,-2.358342234,1.83e-13
Os07g0689600,1.195520851,1.9e-13
Os01g0609300,1.232046464,1.99e-13
Os02g0522300,-1.150024008,2.02e-13
Os11g0626700,-3.506772052,2.08e-13
Os11g0694100,1.282427951,2.22e-13
Os02g0782900,-1.818558943,2.3e-13
Os06g0159600,-1.007363731,2.31e-13
Os11g0160550,-2.282721283,2.36e-13
Os08g0352100,-1.702120988,2.42e-13
Os06g0704700,-2.673795049,2.42e-13
Os01g0754800,-2.140496087,2.46e-13
Os09g0508000,-2.065728297,2.66e-13
Os06g0697600,-1.374303024,2.68e-13
Os05g0514400,1.423930951,2.76e-13
Os01g0942300,-2.011187833,2.88e-13
Os12g0623900,1.130429937,2.92e-13
Os10g0394000,1.228568981,3.17e-13
Os11g0482901,1.233486125,3.39e-13
Os01g0114100,-1.207472773,3.56e-13
Os04g0594100,1.381905304,3.58e-13
Os03g0237100,-1.727414345,3.81e-13
Os01g0595201,2.466296504,3.85e-13
Os08g0546100,1.215775036,3.85e-13
Os11g0139700,-1.228752757,3.92e-13
Os01g0778500,2.365552293,4.09e-13
Os03g0154000,1.636719408,4.83e-13
Os02g0325600,-2.11738509,5.17e-13
Os08g0335600,2.128207849,5.24e-13
